"id","name","race","effect"
328,"Blue Frost","hybrid","Uplifted"
328,"Blue Frost","hybrid","Happy"
328,"Blue Frost","hybrid","Euphoric"
328,"Blue Frost","hybrid","Relaxed"
328,"Blue Frost","hybrid","Talkative"
328,"Blue Frost","hybrid","Depression"
328,"Blue Frost","hybrid","Stress"
328,"Blue Frost","hybrid","Pain"
328,"Blue Frost","hybrid","Insomnia"
328,"Blue Frost","hybrid","Fatigue"
328,"Blue Frost","hybrid","Dry Mouth"
328,"Blue Frost","hybrid","Paranoid"
329,"Blue Galaxy","hybrid","Happy"
329,"Blue Galaxy","hybrid","Euphoric"
329,"Blue Galaxy","hybrid","Relaxed"
